3 3 300
   11.0306    9.0152    8.0199			1
   11.4008    8.7768    6.7652			1
   11.2489    9.5744    8.0812			1
    9.3157    7.4360    5.6128			1
   10.3996    7.9322    7.8283			1
   10.8224   10.7516    5.4981			1
    9.0305    8.6674    6.9254			1
   10.1821   11.0287    6.6184			1
   10.6886    9.0148    6.4989			1
    8.8373    8.7963    6.7583			1
    9.1398    9.4470    6.4768			1
   10.7024    9.0675    8.1215			1
    9.9943    8.6061    6.8525			1
   10.4734   10.2125    8.2261			1
   11.2314    8.6995    6.9041			1
   10.4351    9.7321    7.2843			1
    9.2896    8.4121    7.0801			1
   10.6788    9.7539    8.3300			1
    9.8494    9.5942    7.5975			1
    9.2633    8.1645    6.4084			1
   11.8901    9.9436    6.4256			1
   10.0723    9.7973    6.4827			1
    9.1540    7.9661    6.9238			1
   10.5738    9.4370    6.3062			1
   11.5182    9.4084    7.7851			1
   10.5358    8.2310    8.0972			1
   10.7132    8.9980    7.4457			1
   10.0950    8.9067    7.1707			1
    9.8569    8.1443    7.2301			1
   10.7861    7.7566    8.2188			1
    9.8242    8.2658    8.1978			1
   10.0681    9.0154    6.0752			1
    9.5247    7.5678    6.8740			1
    9.3813    9.7719    7.4452			1
    9.7578    8.4790    6.6197			1
    8.9274    7.1403    8.7561			1
   10.2244    9.1478    7.8777			1
   10.0925   10.1449    6.3775			1
    9.9630    9.0292    7.7425			1
    7.9713    8.5391    6.9682			1
    9.5390    8.8474    7.5424			1
   10.2250    9.1951    5.5091			1
   10.3332    9.7589    8.6131			1
   10.1617    9.1835    5.5835			1
    9.9663    9.5582    8.0813			1
    8.5528    8.9663    5.5248			1
   10.3063    9.1871    7.4727			1
    9.8816    9.1766    7.8767			1
   10.4379    8.3869    7.8186			1
   10.5404    8.4455    7.1350			1
    9.9223    8.9679    6.1164			1
   10.2936    9.3507    7.0285			1
    9.6975    8.2405    6.0747			1
    9.7090    9.5269    5.4338			1
    9.6549    8.9832    6.0586			1
    9.1395   10.8065    7.4928			1
   10.2108    9.3696    7.6209			1
   11.1149    8.3377    6.8811			1
    9.4778    9.1386    6.9128			1
    9.5473    9.2455    7.3125			1
   10.6525    8.8034    7.3615			1
   10.0357    9.1869    7.2712			1
   11.3912    8.9501    9.3456			1
    8.4646    8.5746    4.3721			1
    9.0669    9.0473    7.0317			1
    9.3107    9.6975    7.1383			1
   11.9645   10.1440    8.3523			1
   10.3896    7.1240    6.3609			1
    9.5995    9.0995    7.7090			1
   10.0271    9.6288    7.2416			1
    9.7151    8.9121    7.6865			1
   10.8826    9.8989    8.2690			1
   10.0165    9.5872    8.2965			1
