2 2 100
    1.7044    3.6651		1
    1.6726    4.6705		1
    1.4597    4.1940		1
    1.9761    4.1965		1
    2.1897    3.1463		1
    1.8348    4.1139		1
    1.7501    4.3428		1
    1.9820    3.6816		1
    1.9126    3.4987		1
    1.5214    3.9072		1
    2.6463    3.4730		1
    2.2205    3.9642		1
    2.6405    4.1396		1
    1.7511    4.6866		1
    1.4406    4.0899		1
    2.4038    3.7290		1
    2.0206    4.8171		1
    1.6219    4.4126		1
    1.9554    4.1154		1
    0.9956    4.3358		1
    2.5420    3.7460		1
    1.5094    4.4282		1
    1.6558    4.1343		1
    2.6697    4.3125		1
    1.5454    3.4763		1
    1.7936    4.7678		1
    1.7469    4.2172		1
    2.8099    3.0414		1
    2.0405    4.2350		1
    1.4595    4.6372		1
    1.4377    4.3193		1
    2.8678    4.6904		1
    2.9687    4.6599		1
    2.8175    3.5453		1
    1.3720    2.8472		1
    1.8932    4.8944		1
    1.9005    4.1954		1
    2.1537    4.0102		1
    1.7138    3.7970		1
    1.5112    3.2326		1
    1.7766    4.1107		1
    2.5410    3.3128		1
    3.1863    3.5804		1
    2.1146    3.8957		1
    1.8667    4.3780		1
    2.3508    4.1879		1
    1.7562    3.3273		1
    2.9312    4.7409		1
    2.5534    4.0164		1
    1.3862    4.9352		1
    7.3955    9.7069		2
    7.6087   10.7687		2
    7.6164   10.0700		2
    7.9464    9.0686		2
    7.5115    9.7729		2
    7.5180    9.6740		2
    6.8104   10.0517		2
    7.5809    9.8897		2
    8.1287    9.8605		2
    7.9081    9.6332		2
    7.9162    9.9677		2
    7.9415    9.2780		2
    8.0842   10.3062		2
    7.7494    9.3382		2
    7.6475    9.6692		2
    8.2541    9.9269		2
    7.7895   10.1240		2
    8.1146    9.9617		2
    7.5203   10.8691		2
    7.9270   10.8110		2
    8.3723   10.3132		2
    7.5548   10.0459		2
    8.0695    9.5962		2
    7.8819    9.7693		2
    7.9623    9.2970		2
    7.8207    9.8127		2
    6.9612    9.7645		2
    7.9282   10.8756		2
    8.6967   10.3766		2
    8.3259   10.0325		2
    7.8114    9.8536		2
    7.6693   10.0414		2
    8.1245   10.3831		2
    7.8082   11.1184		2
    7.7358   10.1634		2
    8.0277   10.4317		2
    8.6269   10.3397		2
    6.7400   10.2774		2
    8.2924   10.5008		2
    7.4960   10.6297		2
    8.4721   10.0221		2
    6.7880    9.8429		2
    7.8881   10.1134		2
    8.0290   10.4983		2
    7.7877   10.6080		2
    7.8985    9.7286		2
    7.2435   10.4561		2
    7.4368    9.9139		2
    7.5925    9.8320		2
    8.1833   10.2707		2
